user_id,session_id,actions,product_id,price,event_time,user_agent
10150,03ff9c5c-424a-488d-9f41-b1cd01d461e2,view,150,,2025-05-01T18:46:27.518415,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10112,fa68382e-c517-435b-8651-c1d5bd986f53,purchase,197,51.27,2025-05-01T18:46:27.518546,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10047,91c1739d-2420-430c-b767-5573f7f20214,purchase,132,316.49,2025-05-01T18:46:27.518639,Mozilla/5.0 (Windows NT 10.0; Win64; x64)
10026,c748252e-0718-4944-9f35-e4a04edbdca7,purchase,113,356.15,2025-05-01T18:46:27.518719,Mozilla/5.0 (Linux; Android 10)
10191,21c36f08-c6be-4ce5-aebe-d78cade8fae0,view,104,,2025-05-01T18:46:27.520637,Mozilla/5.0 (Linux; Android 10)
10115,d0f5303d-f8df-4e35-b37b-5546f1e61bcc,view,103,,2025-05-01T18:46:27.520705,Mozilla/5.0 (Linux; Android 10)
10085,03422bb7-4f46-410f-99e0-34962ce39f2f,view,194,,2025-05-01T18:46:27.520809,Mozilla/5.0 (Linux; Android 10)
10082,0e367abc-a01e-4bef-8892-462fd84cfcc3,purchase,162,141.03,2025-05-01T18:46:27.521040,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10017,2f1cc515-884a-4886-a550-8ba3bb695a30,purchase,100,25.55,2025-05-01T18:46:27.521243,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10198,c2c10fa7-590b-4e96-a8fc-3b92d0cc89e2,purchase,126,256.26,2025-05-01T18:46:27.521402,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10049,a3f8683c-2b43-4f9f-88b9-36f4d4ba2cba,view,184,,2025-05-01T18:46:27.521540,Mozilla/5.0 (Linux; Android 10)
10010,83216fdc-ae85-4ab4-82a6-91ef1f30e16e,purchase,193,36.69,2025-05-01T18:46:27.521675,Mozilla/5.0 (Linux; Android 10)
10019,c4df6513-5f2e-4b34-bb99-a8f60ce42c40,purchase,114,422.14,2025-05-01T18:46:27.521822,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10142,791d14d4-afdc-468a-a173-e3d6806ca1c2,view,142,,2025-05-01T18:46:27.521952,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10018,ecbbaf92-e210-44cf-a283-f1ff6853378c,purchase,196,196.35,2025-05-01T18:46:27.522082,Mozilla/5.0 (Linux; Android 10)
10151,be7aca4d-4787-4543-835c-a9fa36fcb956,purchase,172,15.31,2025-05-01T18:46:27.522222,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
10122,6d8f35f6-a68f-411e-95d2-83e196b7aa92,view,109,,2025-05-01T18:46:27.522354,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10108,d6e79928-79f2-4dbd-9d81-57f7d3010285,purchase,105,293.46,2025-05-01T18:46:27.522487,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10172,ee325cbb-76d2-4ed9-9b28-5c6756fbe78a,purchase,168,415.03,2025-05-01T18:46:27.522641,Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1)
10117,1a09e3df-5a1b-4d4f-aa09-3fcdca82f95b,view,105,,2025-05-01T18:46:27.522777,Mozilla/5.0 (Linux; Android 10)
10060,1d2db52e-3a23-4ced-93d8-549aaba531d4,view,150,,2025-05-01T18:46:27.522895,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)
